	ispD	ispD	ispD	ispD	ispD	ispD	ispD	ispD	ispD	NTC	NTC	NTC	NTC	NTC	NTC	NTC	NTC	NTC	WT	WT	WT	WT	WT	WT	WT	WT	WT
	1	2	3	4	5	6	7	9	10	11	12	13	14	15	18	19	20	21	22	23	24						
0:00:00	38	39	39	40	39	39	39	39		38	39	39	39	38	38	39	38	39	40	39	38	39	38	37	39		
2:00:00	27	30	29	29	28	31	29	31		29	29	29	30	29	28	29	29	31	30	33	29	31	30	30	31		
4:00:00	29	27	26	27		27	26	27		27	26	27	28	27		26	28	27	27	28	27	27	26	27	26		
20:00:00	27	34	36	33		34	33	33		32	25	25	25	25		25	32	28	30	35	29	28	29	26	28		
22:00:00	34	32	36	33		34	33	33		31	31	26	26	25		26	34	29	31	35	31	31	30	29	31		
24:00:00	34	35	36	34		34	35	34		32	32	26	26	26		25	35	28	34	35	32	32	32	30	32		
30:00:00	34	37	35	34		33	35	35		32	32	27	29	26			36		35	36	32	31	31	31	30		
36:00:00	34	34	36	36		35	36	36		31	35	29	29	26		26	25		34	37	33	30	36	26			
42:00:00	37	34	37	36		36	36	36		33	37		26	25					37	37	33	28	27	23			
48:00:00	36	35	36	36		37	37	36		28	35						37		37	38							
96:00:00	38	39	39	39		39	39	39		28	25	27	26	25		25	37	26	30	38	28	28	23	23	30		