Hours	pgsA	pgsA	pgsA	NTC	NTC	NTC
0.0000000000	0.011667	0.011667	0.010667	0.025667	0.030667	0.024667
0.1666666667	0.013333	0.011333	0.012333	0.024333	0.028333	0.022333
0.3333333333	0.014333	0.014333	0.013333	0.020333	0.025333	0.020333
0.5000000000	0.019333	0.016333	0.017333	0.021333	0.026333	0.022333
0.6666666667	0.024333	0.020333	0.019333	0.020333	0.027333	0.022333
0.8333333333	0.025333	0.024333	0.024333	0.023333	0.030333	0.028333
1.0000000000	0.030333	0.029333	0.029333	0.026333	0.034333	0.032333
1.1666666670	0.037333	0.035333	0.036333	0.031333	0.039333	0.039333
1.3333333330	0.045000	0.043000	0.047000	0.038000	0.043000	0.047000
1.5000000000	0.054333	0.052333	0.055333	0.046333	0.060333	0.056333
1.6666666670	0.065667	0.063667	0.064667	0.069667	0.065667	0.075667
1.8333333330	0.084333	0.080333	0.082333	0.099333	0.078333	0.094333
2.0000000000	0.112000	0.105000	0.115000	0.136000	0.089000	0.115000
2.1666666670	0.142000	0.145000	0.150000	0.183000	0.162000	0.122000
2.3333333330	0.164000	0.173000	0.176000	0.185000	0.199000	0.144000
2.5000000000	0.178000	0.209000	0.189000	0.207000	0.222000	0.186000
2.6666666670	0.203333	0.227333	0.213333	0.226333	0.235333	0.211333
2.8333333330	0.231000	0.256000	0.237000	0.244000	0.242000	0.230000
3.0000000000	0.244333	0.291333	0.259333	0.247333	0.236333	0.237333
3.1666666670	0.260000	0.345000	0.272000	0.258000	0.257000	0.258000
3.3333333330	0.262000	0.365000	0.307000	0.283000	0.274000	0.281000
3.5000000000	0.273333	0.402333	0.328333	0.294333	0.294333	0.295333
3.6666666670	0.280000	0.424000	0.343000	0.330000	0.322000	0.327000
3.8333333330	0.286000	0.434000	0.360000	0.359000	0.347000	0.344000
4.0000000000	0.308333	0.458333	0.394333	0.398333	0.383333	0.380333
4.1666666670	0.324333	0.495333	0.416333	0.437333	0.409333	0.405333
4.3333333330	0.338333	0.503333	0.444333	0.470333	0.460333	0.436333
4.5000000000	0.361333	0.537333	0.488333	0.515333	0.517333	0.479333
4.6666666670	0.401333	0.562333	0.516333	0.586333	0.579333	0.542333
4.8333333330	0.439000	0.618000	0.563000	0.654000	0.626000	0.631000
5.0000000000	0.494333	0.676333	0.628333	0.760333	0.676333	0.695333
5.1666666670	0.526333	0.712333	0.675333	0.802333	0.737333	0.755333
5.3333333330	0.569000	0.785000	0.728000	0.863000	0.788000	0.817000
5.5000000000	0.605333	0.837333	0.771333	0.919333	0.835333	0.866333
5.6666666670	0.654000	0.888000	0.831000	0.987000	0.901000	0.903000
5.8333333330	0.708333	0.966333	0.868333	1.032333	0.941333	0.951333
6.0000000000	0.764333	1.001333	0.925333	1.060333	0.978333	0.989333
6.1666666670	0.782333	1.013333	0.959333	1.124333	1.009333	1.021333
6.3333333330	0.829000	1.044000	1.006000	1.149000	1.061000	1.051000
6.5000000000	0.874333	1.090333	1.029333	1.162333	1.080333	1.080333
6.6666666670	0.958333	1.148333	1.066333	1.195333	1.109333	1.110333
6.8333333330	0.983333	1.161333	1.090333	1.218333	1.143333	1.136333
7.0000000000	1.035333	1.192333	1.135333	1.237333	1.175333	1.163333
7.1666666670	1.044000	1.208000	1.159000	1.251000	1.186000	1.186000
7.3333333330	1.080333	1.223333	1.185333	1.290333	1.222333	1.205333
7.5000000000	1.124333	1.246333	1.210333	1.307333	1.246333	1.225333
7.6666666670	1.162000	1.274000	1.237000	1.337000	1.266000	1.243000
7.8333333330	1.189333	1.289333	1.267333	1.358333	1.287333	1.260333
8.0000000000	1.203333	1.310333	1.284333	1.375333	1.308333	1.284333
8.1666666670	1.201000	1.329000	1.304000	1.393000	1.327000	1.301000
8.3333333330	1.223000	1.354000	1.319000	1.410000	1.346000	1.320000
8.5000000000	1.261333	1.373333	1.341333	1.429333	1.365333	1.338333
8.6666666670	1.277333	1.381333	1.357333	1.450333	1.382333	1.363333
8.8333333330	1.300333	1.401333	1.372333	1.460333	1.403333	1.376333
9.0000000000	1.308000	1.411000	1.390000	1.473000	1.419000	1.395000
9.1666666670	1.325333	1.427333	1.409333	1.484333	1.432333	1.415333
9.3333333330	1.340333	1.446333	1.433333	1.505333	1.450333	1.427333
9.5000000000	1.358000	1.463000	1.458000	1.523000	1.466000	1.441000
9.6666666670	1.367000	1.482000	1.467000	1.530000	1.481000	1.458000
9.8333333330	1.387333	1.489333	1.484333	1.538333	1.495333	1.472333
10.0000000000	1.404333	1.501333	1.505333	1.544333	1.507333	1.486333
10.1666666700	1.425000	1.517000	1.506000	1.563000	1.518000	1.497000
10.3333333300	1.441333	1.529333	1.508333	1.571333	1.531333	1.509333
10.5000000000	1.463000	1.541000	1.517000	1.586000	1.545000	1.519000
10.6666666700	1.475333	1.549333	1.531333	1.594333	1.557333	1.531333
10.8333333300	1.492333	1.558333	1.542333	1.602333	1.566333	1.543333
11.0000000000	1.503000	1.568000	1.542000	1.610000	1.577000	1.555000
11.1666666700	1.516333	1.573333	1.552333	1.618333	1.586333	1.563333
11.3333333300	1.530333	1.580333	1.563333	1.626333	1.595333	1.574333
11.5000000000	1.542000	1.588000	1.569000	1.633000	1.604000	1.583000
11.6666666700	1.551000	1.595000	1.583000	1.641000	1.614000	1.589000
11.8333333300	1.560333	1.605333	1.587333	1.647333	1.622333	1.598333
12.0000000000	1.570000	1.614000	1.592000	1.657000	1.628000	1.604000
12.1666666700	1.580000	1.623000	1.594000	1.662000	1.637000	1.614000
12.3333333300	1.586333	1.629333	1.599333	1.667333	1.645333	1.621333
12.5000000000	1.597000	1.636000	1.603000	1.673000	1.654000	1.627000
12.6666666700	1.601000	1.641000	1.609000	1.679000	1.661000	1.636000
12.8333333300	1.610000	1.646000	1.611000	1.684000	1.665000	1.643000
13.0000000000	1.618667	1.650667	1.616667	1.685667	1.668667	1.648667
13.1666666700	1.632000	1.655000	1.617000	1.690000	1.671000	1.653000
13.3333333300	1.636000	1.658000	1.623000	1.696000	1.672000	1.656000
13.5000000000	1.649000	1.657000	1.626000	1.700000	1.678000	1.662000
13.6666666700	1.659000	1.658000	1.630000	1.699000	1.682000	1.669000
13.8333333300	1.666000	1.666000	1.633000	1.701000	1.685000	1.669000
14.0000000000	1.674333	1.670333	1.635333	1.701333	1.690333	1.671333
14.1666666700	1.681333	1.671333	1.638333	1.703333	1.689333	1.676333
14.3333333300	1.690000	1.673000	1.642000	1.705000	1.689000	1.682000
14.5000000000	1.697667	1.671667	1.642667	1.702667	1.689667	1.682667
14.6666666700	1.701000	1.675000	1.647000	1.704000	1.689000	1.683000
14.8333333300	1.715000	1.676000	1.647000	1.701000	1.691000	1.692000
15.0000000000	1.721000	1.676000	1.650000	1.695000	1.688000	1.693000
15.1666666700	1.724667	1.678667	1.652667	1.692667	1.684667	1.697667
15.3333333300	1.732000	1.678000	1.655000	1.689000	1.683000	1.697000
15.5000000000	1.738000	1.677000	1.660000	1.682000	1.679000	1.693000
15.6666666700	1.744000	1.677000	1.661000	1.679000	1.676000	1.691000
15.8333333300	1.749000	1.676000	1.662000	1.674000	1.670000	1.691000
16.0000000000	1.754667	1.674667	1.663667	1.664667	1.662667	1.682667
16.1666666700	1.760000	1.674000	1.665000	1.658000	1.663000	1.679000
16.3333333300	1.757667	1.672667	1.665667	1.651667	1.658667	1.674667
16.5000000000	1.760667	1.670667	1.665667	1.645667	1.654667	1.668667
16.6666666700	1.765333	1.668333	1.665333	1.636333	1.647333	1.660333
16.8333333300	1.764667	1.665667	1.665667	1.630667	1.642667	1.654667
17.0000000000	1.765333	1.661333	1.665333	1.624333	1.637333	1.648333
17.1666666700	1.764667	1.657667	1.664667	1.615667	1.632667	1.641667
17.3333333300	1.773000	1.655000	1.665000	1.610000	1.627000	1.636000
17.5000000000	1.773667	1.649667	1.662667	1.602667	1.621667	1.628667
17.6666666700	1.776333	1.646333	1.664333	1.594333	1.612333	1.622333
17.8333333300	1.776667	1.641667	1.664667	1.586667	1.608667	1.615667
18.0000000000	1.777667	1.636667	1.664667	1.579667	1.603667	1.608667
18.1666666700	1.775667	1.631667	1.661667	1.574667	1.596667	1.602667
18.3333333300	1.779667	1.625667	1.659667	1.565667	1.589667	1.593667
18.5000000000	1.778667	1.620667	1.658667	1.557667	1.583667	1.587667
18.6666666700	1.778000	1.613000	1.656000	1.550000	1.579000	1.580000
18.8333333300	1.775667	1.606667	1.652667	1.542667	1.572667	1.573667
19.0000000000	1.775000	1.601000	1.650000	1.537000	1.567000	1.568000
19.1666666700	1.773667	1.595667	1.646667	1.529667	1.561667	1.560667
19.3333333300	1.769667	1.589667	1.642667	1.525667	1.556667	1.552667
19.5000000000	1.772333	1.584333	1.639333	1.514333	1.551333	1.547333
19.6666666700	1.767667	1.577667	1.636667	1.510667	1.545667	1.541667
19.8333333300	1.768667	1.571667	1.631667	1.503667	1.539667	1.534667
20.0000000000	1.768333	1.566333	1.628333	1.496333	1.535333	1.530333
20.1666666700	1.773000	1.557000	1.624000	1.490000	1.530000	1.523000
20.3333333300	1.768667	1.550667	1.619667	1.483667	1.523667	1.517667
20.5000000000	1.765333	1.544333	1.615333	1.475333	1.517333	1.511333
20.6666666700	1.760667	1.531667	1.611667	1.465667	1.510667	1.505667
20.8333333300	1.762000	1.534000	1.606000	1.463000	1.506000	1.500000
21.0000000000	1.762333	1.527333	1.601333	1.455333	1.498333	1.494333
21.1666666700	1.761333	1.521333	1.597333	1.448333	1.490333	1.489333
21.3333333300	1.757000	1.517000	1.592000	1.444000	1.486000	1.484000
21.5000000000	1.754667	1.508667	1.586667	1.432667	1.481667	1.477667
21.6666666700	1.744667	1.500667	1.581667	1.424667	1.473667	1.471667
21.8333333300	1.744333	1.491333	1.576333	1.419333	1.466333	1.468333
22.0000000000	1.746667	1.484667	1.570667	1.413667	1.459667	1.461667
22.1666666700	1.744667	1.479667	1.564667	1.407667	1.454667	1.454667
22.3333333300	1.740333	1.473333	1.557333	1.398333	1.448333	1.453333
22.5000000000	1.729667	1.468667	1.549667	1.393667	1.441667	1.446667